Country,Store,Provider,Bandwidth
Colombia,3001,BW TigoUNE,12
Colombia,3002,BW TigoUNE,12
Colombia,3003,BW TigoUNE,12
Colombia,3004,BW TigoUNE,2
Colombia,3005,BW TigoUNE,2
Colombia,3006,BW TigoUNE,12
Colombia,3007,BW TigoUNE,1
Colombia,3008,BW TigoUNE,1
Colombia,3009,BW TigoUNE,12
Colombia,3010,BW TigoUNE,12
Colombia,3011,BW TigoUNE,12
Colombia,3012,BW TigoUNE,12
Colombia,3013,BW TigoUNE,12
Colombia,3014,BW TigoUNE,12
Colombia,3015,BW TigoUNE,12
Colombia,3016,BW TigoUNE,12
Colombia,3017,BW TigoUNE,1
Colombia,3018,BW TigoUNE,12
Colombia,3019,BW TigoUNE,1
Colombia,3020,BW TigoUNE,12
Colombia,3021,BW TigoUNE,12
Colombia,3022,BW TigoUNE,12
Colombia,3023,BW TigoUNE,2
Colombia,3024,BW TigoUNE,12
Colombia,3025,BW TigoUNE,2
Colombia,3026,BW TigoUNE,12
Colombia,3027,BW TigoUNE,12
Colombia,3028,BW TigoUNE,12
Colombia,3029,BW TigoUNE,12
Colombia,3030,BW TigoUNE,2
Colombia,3031,BW TigoUNE,12
Colombia,3032,BW TigoUNE,12
Colombia,3033,BW TigoUNE,2
Colombia,3034,BW TigoUNE,2
Colombia,3035,BW TigoUNE,2
Colombia,3036,BW TigoUNE,12
Colombia,3037,BW TigoUNE,2
Colombia,3038,BW TigoUNE,2
Colombia,3039,BW TigoUNE,12
Colombia,3040,BW TigoUNE,2
Colombia,3041,BW TigoUNE,12
Colombia,3042,BW TigoUNE,12
Colombia,3043,BW TigoUNE,12
Colombia,3044,BW TigoUNE,12
Colombia,3045,BW TigoUNE,12
Colombia,3046,BW TigoUNE,12
Colombia,3047,BW TigoUNE,2
Colombia,3048,BW TigoUNE,1
Colombia,3049,BW TigoUNE,12
Colombia,3050,BW TigoUNE,12
Colombia,3051,BW TigoUNE,12
Colombia,3052,BW TigoUNE,12
Colombia,3053,BW TigoUNE,12
Colombia,3054,BW TigoUNE,12
Colombia,3055,BW TigoUNE,12
Colombia,3056,BW TigoUNE,2
Colombia,3057,BW TigoUNE,1
Colombia,3058,BW TigoUNE,12
Colombia,3059,BW TigoUNE,12
Colombia,3060,BW TigoUNE,1
Colombia,3061,BW TigoUNE,12
Colombia,3062,BW TigoUNE,2
Colombia,3063,BW TigoUNE,2
Colombia,3064,BW TigoUNE,12
Colombia,3065,BW TigoUNE,12
Colombia,3066,BW TigoUNE,10
Colombia,3067,BW TigoUNE,12
Colombia,3068,BW TigoUNE,12
Colombia,3069,BW TigoUNE,1
Colombia,3070,BW TigoUNE,12
