Country,Store,Bandwidth 
Colombia,3001,12
Colombia,3002,12
Colombia,3003,12
Colombia,3004,2
Colombia,3005,2
Colombia,3006,12
Colombia,3007,1
Colombia,3008,1
Colombia,3009,12
Colombia,3010,12
Colombia,3011,12
Colombia,3012,12
Colombia,3013,12
Colombia,3014,12
Colombia,3015,12
Colombia,3016,12
Colombia,3017,1
Colombia,3018,12
Colombia,3019,1
Colombia,3020,12
Colombia,3021,12
Colombia,3022,12
Colombia,3023,2
Colombia,3024,12
Colombia,3025,2
Colombia,3026,12
Colombia,3027,12
Colombia,3028,12
Colombia,3029,12
Colombia,3030,2
Colombia,3031,12
Colombia,3032,12
Colombia,3033,2
Colombia,3034,2
Colombia,3035,2
Colombia,3036,12
Colombia,3037,2
Colombia,3038,2
Colombia,3039,12
Colombia,3040,2
Colombia,3041,12
Colombia,3042,12
Colombia,3043,12
Colombia,3044,12
Colombia,3045,12
Colombia,3046,12
Colombia,3047,2
Colombia,3048,1
Colombia,3049,12
Colombia,3050,12
Colombia,3051,12
Colombia,3052,12
Colombia,3053,12
Colombia,3054,12
Colombia,3055,12
Colombia,3056,2
Colombia,3057,1
Colombia,3058,12
Colombia,3059,12
Colombia,3060,1
Colombia,3061,12
Colombia,3062,2
Colombia,3063,2
Colombia,3064,12
Colombia,3065,12
Colombia,3066,10
Colombia,3067,12
Colombia,3068,12
Colombia,3069,1
Colombia,3070,12
Colombia,3071,12
Colombia,3072,12
Colombia,3073,12
Colombia,3074,2
Colombia,3075,12
Colombia,3076,12
Colombia,3077,12
Colombia,3078,12
Colombia,3079,12
Colombia,3080,12
Colombia,3081,1
Colombia,3082,12
Colombia,3083,12
Colombia,3084,2
Colombia,3085,12
Colombia,3086,2
Colombia,3087,2
Colombia,3088,2
Colombia,3089,12
Colombia,3090,12
Colombia,3091,12
Colombia,3092,12
Colombia,3093,12
Colombia,3094,12
Colombia,3095,12
Colombia,3096,2
Colombia,3097,12
Colombia,3098,2
Colombia,3099,2
Colombia,3100,12
Colombia,3101,2
Colombia,3102,2
Colombia,3103,12
Colombia,3104,12
Colombia,3105,1
Colombia,3106,2
Colombia,3107,12
Colombia,3108,12
Colombia,3109,12
Colombia,3110,2
Colombia,3111,10
Colombia,3112,12
Colombia,3114,12
Colombia,3113,1
Colombia,3115,1
Colombia,3116,1
Colombia,3117,1
Colombia,3118,12
Colombia,3119,12
Colombia,3120,2
Colombia,3121,12
Colombia,3122,12
Colombia,3123,12
Colombia,3124,1
Colombia,3125,12
Colombia,3126,12
Colombia,3127,12
Colombia,3128,1
Colombia,3129,12
Colombia,3130,12
Colombia,3131,2
Colombia,3132,12
Colombia,3134,12
Colombia,3135,1
Colombia,3136,12
Colombia,3137,1
Colombia,3138,1
Colombia,3139,1
Colombia,3140,1
Colombia,3141,2
Colombia,3142,1
Colombia,3143,2
Colombia,3144,2
Colombia,3145,12
Colombia,3146,1
Colombia,3147,1
Colombia,3148,1
Colombia,3149,12
Colombia,3150,12
Colombia,3151,1
Colombia,3152,2
Colombia,3153,2
Colombia,3154,12
Colombia,3155,12
Colombia,3133,12
Colombia,3157,12
Colombia,3158,12
Colombia,3156,12
Colombia,3161,12
Colombia,3159,12
Colombia,3160,12
Colombia,3162,12
Colombia,3163,12
Colombia,3164,2
Colombia,3165,12
Colombia,3166,12
Colombia,3167,12
Colombia,3168,2
Colombia,3169,12
Colombia,3170,12
Colombia,3171,12
Colombia,3172,12
Colombia,3173,12
Colombia,3174,12
Colombia,3175,12
Colombia,3176,12
Colombia,3177,5
Colombia,3178,12
Colombia,3179,12
Colombia,3180,10
Colombia,3181,12
Colombia,3182,12
Colombia,3183,12
Colombia,3184,12
Colombia,3185,12
Colombia,3186,12
Colombia,3187,12
Colombia,3188,12
Colombia,3189,12
Colombia,3190,12
Colombia,3191,12
Colombia,3192,12
Colombia,3193,12
Colombia,3194,12
Colombia,3195,12
Colombia,3196,12
Colombia,3197,12
Colombia,3198,12
Colombia,3199,12
Colombia,3200,2
Colombia,3201,2
Colombia,3202,2
Colombia,3203,12
Colombia,3204,2
Colombia,3205,2
Colombia,3206,12
Colombia,3207,12
Colombia,3208,12
Colombia,3209,12
Colombia,3210,12
Colombia,3211,0
Colombia,3212,2
Colombia,3213,2
Colombia,3214,12
Colombia,3215,12
Colombia,3216,12
Colombia,3217,12
Colombia,3218,12
Colombia,3219,12
Colombia,3220,2
Colombia,3221,2
Colombia,3222,12
Colombia,3223,12
Colombia,3224,12
Colombia,3225,2
Colombia,3226,10
Colombia,3227,12
Colombia,3228,12
Colombia,3229,12
Colombia,3230,12
Colombia,3231,12
Colombia,3232,12
Colombia,3233,12
Colombia,3234,12
Colombia,3235,10
Colombia,3236,12
Colombia,3237,2
Colombia,3238,12
Colombia,3239,12
Colombia,3240,12
Colombia,3241,12
Colombia,3242,0
Colombia,3243,12
Colombia,3244,10
Colombia,3245,10
Colombia,3246,12
Colombia,3247,15
Colombia,3248,0
Colombia,3249,12
Colombia,3250,12
Colombia,3251,12
Colombia,3252,12
Colombia,3253,10
Colombia,3254,10
Colombia,3255,0
Colombia,3256,10
Colombia,3257,0
Colombia,3258,12
Colombia,3259,0
Colombia,3260,0
Colombia,3261,0
Colombia,3262,10
Colombia,3263,10
Colombia,3264,2
Colombia,3265,0
Colombia,3266,12
Colombia,3267,0
Colombia,3268,0
El Salvador,2001,10
El Salvador,2002,10
El Salvador,2003,10
El Salvador,2004,10
El Salvador,2005,10
El Salvador,2006,10
El Salvador,2007,10
El Salvador,2008,10
El Salvador,2009,10
El Salvador,2010,10
El Salvador,2011,10
El Salvador,2012,10
El Salvador,2013,10
El Salvador,2014,10
El Salvador,2015,10
El Salvador,2016,10
El Salvador,2017,10
El Salvador,2018,10
El Salvador,2019,10
El Salvador,2020,10
El Salvador,2021,10
El Salvador,2022,10
El Salvador,2023,0
El Salvador,2024,10
El Salvador,2025,10
El Salvador,2026,10
El Salvador,2027,1
El Salvador,2028,10
El Salvador,2029,10
El Salvador,2030,10
El Salvador,2031,10
El Salvador,2032,10
El Salvador,2034,10
El Salvador,2035,10
El Salvador,2036,10
El Salvador,2037,10
El Salvador,2038,10
El Salvador,2039,10
El Salvador,2040,10
El Salvador,2041,10
El Salvador,2042,10
El Salvador,2043,10
El Salvador,2044,10
El Salvador,2046,10
El Salvador,2047,10
El Salvador,2049,10
El Salvador,2050,10
El Salvador,2051,10
El Salvador,2048,10
El Salvador,2045,10
El Salvador,2052,10
El Salvador,2053,10
El Salvador,2054,10
El Salvador,2055,10
El Salvador,2056,10
El Salvador,2033,10
El Salvador,2057,10
